id,name,slug,category,subcategory,description,flavor,filling,ingredients_status,allergens,allergens_status,tags,image_url,image_license_status,barcode,brand,source,source_url,source_product_id,data_origin,license,notes
OFF-TIRA-0001,Le Tiramisu Cappuccino,le-tiramisu-cappuccino-0608,Tiramisu,Tiramisu cổ điển,,Coffee,,real,Trứng; Gluten; Sữa,real,real-import;open-food-facts,https://images.openfoodfacts.org/images/products/345/677/475/0608/front_fr.58.400.jpg,cc-by-sa-attribution-required,3456774750608,Mamie Nova,Open Food Facts,https://world.openfoodfacts.org/product/3456774750608,3456774750608,real,"ODbL 1.0 (data); image typically CC BY-SA (per-contributor, verify before reuse)","Imported as-is from Open Food Facts. Packaged retail product, not a Leaf Creme custom order item."
OFF-TIRA-0002,Tiramisu,tiramisu-7179,Tiramisu,Tiramisu cổ điển,,,,real,Trứng; Gluten; Sữa,real,real-import;open-food-facts,https://images.openfoodfacts.org/images/products/000/002/033/7179/front_en.107.400.jpg,cc-by-sa-attribution-required,20337179,Deluxe,Open Food Facts,https://world.openfoodfacts.org/product/20337179,20337179,real,"ODbL 1.0 (data); image typically CC BY-SA (per-contributor, verify before reuse)","Imported as-is from Open Food Facts. Packaged retail product, not a Leaf Creme custom order item."
OFF-TIRA-0003,Tiramisu Café de Colombie,tiramisu-cafe-de-colombie-1556,Tiramisu,Tiramisu cổ điển,,Coffee,,real,Trứng; Gluten; Sữa,real,real-import;open-food-facts,https://images.openfoodfacts.org/images/products/337/290/090/1556/front_fr.54.400.jpg,cc-by-sa-attribution-required,3372900901556,Marie Morin,Open Food Facts,https://world.openfoodfacts.org/product/3372900901556,3372900901556,real,"ODbL 1.0 (data); image typically CC BY-SA (per-contributor, verify before reuse)","Imported as-is from Open Food Facts. Packaged retail product, not a Leaf Creme custom order item."
OFF-TIRA-0004,Tiramisu Au café,tiramisu-au-cafe-3174,Tiramisu,Tiramisu cổ điển,,Coffee,,real,Trứng; Gluten; Sữa,real,real-import;open-food-facts,https://images.openfoodfacts.org/images/products/356/007/123/3174/front_fr.45.400.jpg,cc-by-sa-attribution-required,3560071233174,Carrefour,Open Food Facts,https://world.openfoodfacts.org/product/3560071233174,3560071233174,real,"ODbL 1.0 (data); image typically CC BY-SA (per-contributor, verify before reuse)","Imported as-is from Open Food Facts. Packaged retail product, not a Leaf Creme custom order item."
OFF-TIRA-0005,Tiramisu noisette,tiramisu-noisette-1432,Tiramisu,Tiramisu cổ điển,,Hazelnut,,real,Sữa; blé; crème; lait; mascarpone; noisettes; œuf; œufs,real,real-import;open-food-facts,https://images.openfoodfacts.org/images/products/370/100/241/1432/front_en.13.400.jpg,cc-by-sa-attribution-required,3701002411432,Les desserts du crémier,Open Food Facts,https://world.openfoodfacts.org/product/3701002411432,3701002411432,real,"ODbL 1.0 (data); image typically CC BY-SA (per-contributor, verify before reuse)","Imported as-is from Open Food Facts. Packaged retail product, not a Leaf Creme custom order item."
OFF-TIRA-0006,Tiramisu au Spéculoos,tiramisu-au-speculoos-4946,Tiramisu,Tiramisu cổ điển,,,,real,Trứng; Gluten; Sữa,real,real-import;open-food-facts,https://images.openfoodfacts.org/images/products/370/100/240/4946/front_fr.23.400.jpg,cc-by-sa-attribution-required,3701002404946,Les Desserts du Crémier,Open Food Facts,https://world.openfoodfacts.org/product/3701002404946,3701002404946,real,"ODbL 1.0 (data); image typically CC BY-SA (per-contributor, verify before reuse)","Imported as-is from Open Food Facts. Packaged retail product, not a Leaf Creme custom order item."
OFF-TIRA-0007,"Tiramisu, 2 unités, 90g",tiramisu-2-unites-90g-4810,Tiramisu,Tiramisu cổ điển,,,,real,Trứng; Gluten; Sữa,real,real-import;open-food-facts,https://images.openfoodfacts.org/images/products/325/622/687/4810/front_fr.48.400.jpg,cc-by-sa-attribution-required,3256226874810,"U, U Bio",Open Food Facts,https://world.openfoodfacts.org/product/3256226874810,3256226874810,real,"ODbL 1.0 (data); image typically CC BY-SA (per-contributor, verify before reuse)","Imported as-is from Open Food Facts. Packaged retail product, not a Leaf Creme custom order item."
OFF-TIRA-0008,Tiramisu Pâturages 4x80g,tiramisu-paturages-4x80g-1712,Tiramisu,Tiramisu cổ điển,,,,real,Trứng; Gluten; Sữa,real,real-import;open-food-facts,https://images.openfoodfacts.org/images/products/325/039/247/1712/front_fr.38.400.jpg,cc-by-sa-attribution-required,3250392471712,Pâturages,Open Food Facts,https://world.openfoodfacts.org/product/3250392471712,3250392471712,real,"ODbL 1.0 (data); image typically CC BY-SA (per-contributor, verify before reuse)","Imported as-is from Open Food Facts. Packaged retail product, not a Leaf Creme custom order item."
OFF-SPNG-0001,La Barquette (chocolat),la-barquette-chocolat-8331,Bông lan,Bông lan trứng,,Chocolate,,real,Trứng; Gluten; Sữa; Hạt cây; Đậu nành,real,real-import;open-food-facts,https://images.openfoodfacts.org/images/products/301/776/003/8331/front_fr.67.400.jpg,cc-by-sa-attribution-required,3017760038331,LU,Open Food Facts,https://world.openfoodfacts.org/product/3017760038331,3017760038331,real,"ODbL 1.0 (data); image typically CC BY-SA (per-contributor, verify before reuse)","Imported as-is from Open Food Facts. Packaged retail product, not a Leaf Creme custom order item."
OFF-SPNG-0002,Kinder Pinguin,kinder-pinguin-0829,Bông lan,Bông lan trứng,,,,real,Trứng; Gluten; Sữa; Đậu nành,real,real-import;open-food-facts,https://images.openfoodfacts.org/images/products/400/840/029/0829/front_en.152.400.jpg,cc-by-sa-attribution-required,4008400290829,Kinder,Open Food Facts,https://world.openfoodfacts.org/product/4008400290829,4008400290829,real,"ODbL 1.0 (data); image typically CC BY-SA (per-contributor, verify before reuse)","Imported as-is from Open Food Facts. Packaged retail product, not a Leaf Creme custom order item."
